"PROGRAM","VERSION","DATE","TYPE","SOURCE","FAKETAD","TARGET","SYSTEM","ORIGIN","CREDIT","BANNER","BANNER1","ICON_ALT","DANGER","PUBLISHED","UNDUMPED","TITLE","DESC"
"AppJumpChecker","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/AppJumpChecker","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","APP JUMP Checker","LANG_EN","","","","","App Jump Checker","NAND app jump test"
"AppJumpChecker","v0","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","APP JUMP Checker","LANG_EN","","","","","App Jump Checker","NAND app jump test"
"ApplicationJumpTest","Nand1","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/ApplicationJump","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TITLE_431A","LANG_EN","TRUE","","","","Application Jump Test","NAND app jump test"
"ApplicationJumpTest","Nand1","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TITLE_431A","LANG_EN","","","","","Application Jump Test","NAND app jump test"
"ApplicationJumpTest","Nand2","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TITLE_432A","LANG_EN","","","","","Application Jump Test","NAND app jump test"
"ApplicationJumpTest","Nand2","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","TITLE_432A","LANG_EN","","","","","Application Jump Test","NAND app jump test"
"ApplicationJumpTest","Card_AID","","srl","","","CARD","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DSi™","Demonstration","","","","","Application Jump Test","NAND app jump test"
"ApplicationJumpTest","Card_Fail","","srl","","","CARD","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DSi™","Demonstration","","","","","Application Jump Test","NAND app jump test"
"ApplicationJumpTest","Card","","srl","","","CARD","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","NINTENDO DSi™","Demonstration","","","","","Application Jump Test","NAND app jump test"
"auto_preinst_rom","","","","https://github.com/rvtr/TwlToolsRED/tree/master/build/tools/sctools/auto_preinst_rom","","CARD","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","RepairTool Restore","","","","TRUE","TRUE","auto_preinst_rom","Bundled app installer"
"backupSample","v0","_20090501","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","backup","","","","","","backupSample",""
"backupSample","v0","_20090501","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","backup","","","","","","backupSample",""
"BannerViewerTemplate","v0","","srl","","","CARD","NTR (DS)","- Nintendo Developer Portal (TWL SDK)","N/A","","","","","","","BannerViewerTemplate",""
"CalcHMAC_forBroadOn","","","","https://github.com/rvtr/TwlIPL/tree/trunk/build/tools/CalcHMAC_forBroadOn","","CARD","TWL (DSi)","- Gigaleaks (TwlToolsRED)","N/A","NINTENDO DSi™","Demonstration","","","TRUE","TRUE","CalcHMAC ForBroadOn","TWL-TS HWInfo writer"
"CardRomHeaderChecker","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/debugsoft/CardRomHeaderChecker","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Card ROM Header Checker","","","","","","Card Rom Header Checker","ROM header checker"
"CardRomHeaderChecker","v0","","tad","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Card ROM Header Checker","","","","","","Card Rom Header Checker","ROM header checker"
"ComponentSDKVersionIdentifier","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/tools/NitroArm7VerChecker","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","TRUE","","Component SDK Version Identifier","ROM SDK checker"
"ComponentSDKVersionIdentifier","v0","","tad","","TRUE","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","","","Component SDK Version Identifier","ROM SDK checker"
"ComponentSDKVersionIdentifier","v10","","srl","","","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","","","Component SDK Version Identifier","ROM SDK checker"
"ComponentSDKVersionIdentifier","v10","","tad","","TRUE","NAND","TWL (DSi)","- Gigaleaks (TwlIPL)","N/A","Component SDK Version Identifier","","","","","","Component SDK Version Identifier","ROM SDK checker"
"CTRBoardChecker","v1.0","_20160713","srl","","","CARD","TWL (DSi)","- Gigaleaks (3DS_manu.7z)","N/A","NINTENDO DSi™","Demonstration","","","TRUE","","CTR CPU Board Sequencer","3DS hardware tester"
"DSGameCardToSD","v0","","srl","https://github.com/rvtr/TwlIPL/tree/trunk/build/tools/CardToSD","","NAND","TWL (DSi)","- Gigaleaks (ctr_tools_red)","N/A","DS Game Card To SD","","","","TRUE","","DS Game Card To SD","Cartridge dumper"
"DSGameCardToSD","v0","","tad","","TRUE","NAND","TWL (DSi)","- Gigaleaks (ctr_tools_red)","N/A","DS Game Card To SD","","","","","","DS Game Card To SD","Cartridge dumper"
"DSGameCardToSD","v1","","srl","","","NAND","TWL (DSi)","- Gigaleaks (ctr_tools_red)","N/A","DS Game Card To SD","","","","","","DS Game Card To SD","Cartridge dumper"
